"행정구역","2024년12월_계_총인구수","2024년12월_계_연령구간인구수","2024년12월_계_0~9세","2024년12월_계_10~19세","2024년12월_계_20~29세","2024년12월_계_30~39세","2024년12월_계_40~49세","2024년12월_계_50~59세","2024년12월_계_60~69세","2024년12월_계_70~79세","2024년12월_계_80~89세","2024년12월_계_90~99세","2024년12월_계_100세 이상"
"서울특별시 동대문구 청량리동(1123070500)","18,473","18,473","554","877","2,174","2,155","2,072","2,956","3,773","2,418","1,272","218","4"
"서울특별시 동대문구 회기동(1123071000)","10,229","10,229","282","677","3,373","1,495","1,127","1,195","958","648","408","63","3"
"서울특별시 동대문구 휘경제1동(1123072000)","13,427","13,427","609","764","3,629","2,017","1,574","1,846","1,461","956","502","66","3"
"서울특별시 동대문구 휘경제2동(1123073000)","24,067","24,067","903","1,832","5,682","3,182","2,957","3,546","2,975","1,970","903","114","3"
"서울특별시 동대문구 이문제1동(1123074000)","16,546","16,546","513","1,036","4,968","1,885","1,755","2,248","1,936","1,277","828","96","4"
"서울특별시 동대문구 이문제2동(1123075000)","19,030","19,030","961","1,529","2,537","2,269","2,631","3,277","2,850","1,918","954","102","2"
"서울특별시 중랑구 (1126000000)","379,274","379,274","17,793","23,268","47,546","58,262","51,810","63,359","64,182","35,234","15,744","2,016","60"
"서울특별시 중랑구 면목제2동(1126052000)","23,237","23,237","841","1,298","2,712","3,371","3,112","4,228","4,269","2,234","1,037","131","4"
"서울특별시 중랑구 면목제4동(1126054000)","17,900","17,900","780","1,073","2,086","2,457","2,569","3,126","2,987","1,918","819","82","3"
"서울특별시 중랑구 면목제5동(1126055000)","14,208","14,208","1,137","890","1,420","2,259","2,313","2,358","2,192","1,109","479","51","0"
"서울특별시 중랑구 면목본동(1126056500)","32,345","32,345","1,113","1,490","4,553","5,409","4,126","5,787","5,404","2,982","1,334","145","2"
"서울특별시 중랑구 면목제7동(1126057000)","20,974","20,974","968","1,011","2,543","3,275","2,763","3,512","3,697","2,191","882","131","1"
"서울특별시 중랑구 면목제3.8동(1126057500)","23,884","23,884","852","1,144","3,121","3,460","3,055","4,195","4,411","2,437","1,079","127","3"
"서울특별시 중랑구 상봉제1동(1126058000)","22,837","22,837","1,362","1,682","2,683","3,475","3,140","3,815","3,890","1,861","831","97","1"
"서울특별시 중랑구 상봉제2동(1126059000)","20,842","20,842","654","689","4,309","4,933","2,459","2,872","2,722","1,465","660","74","5"
"서울특별시 중랑구 중화제1동(1126060000)","18,312","18,312","815","1,114","2,140","2,952","2,493","2,863","3,272","1,829","755","76","3"
"서울특별시 중랑구 중화제2동(1126061000)","23,461","23,461","767","941","3,040","3,601","2,910","4,148","4,451","2,311","1,161","130","1"
"서울특별시 중랑구 묵제1동(1126062000)","33,310","33,310","1,585","2,839","4,453","4,576","4,981","5,495","4,967","2,947","1,307","156","4"
"서울특별시 중랑구 묵제2동(1126063000)","17,921","17,921","731","1,008","2,295","2,601","2,504","3,054","3,039","1,808","792","86","3"
