운동기구 기종명,운동기구 수량
역기10kg,4
역기15kg,3
역기20,1
역기5kg,1
역기내리기,62
역기당기기,1
역기들어올리기,1
역기밀기,1
역기올려내리기,1
역기올리기,64
역기올리기+내리기,1
옆 파도타기,1
옆파도타기,3
오금펴기,15
오금펴기 다리뻗치기,1
오금펴기+줄당기기,2
오깨근육풀기,1
오르기,1
오버턴 스트레칭,2
오버턴스트레칭,3
온몰근육풀기,1
온몸 근육풀기,2
온몸 노젓기,1
온몸 노젖기,2
온몸 역기 내리기,2
온몸 역기 밀기,1
온몸 파도타기,1
온몸 허리 돌리기,1
온몸근육+양팔,1
온몸근육+어깨근육,1
온몸근육풀기,70
온몸노젓기,1
온몸노젖기,2
온몸밀어올리기,1
온몸뻗치기,1
온몸역기내리기,2
온몸역기돌리기,1
온몸역기올리기,2
온몸전신펴기,1
온몸허리돌리기,2
올리는 역기,2
워밍암,4
워킹트레이너머신,2
웟몸 일으키기,1
위몸 위으키기,5
윗몸 일으키기,5
윗몸+거꾸리,1
윗몸+레그프레스,2
윗몸+체어풀,1
윗몸일으켜기,77
윗몸일으키기,47
윗몸일으키리,2
의자당기기,2
"인크라이프렛,",1
일반역기,2
일반윗몸일으키기,1
일반평행봉,1
입식 사이클,1
입식사이클,1
입식트윈트위스트,1
자전거,5
자전거 타기,1
자전거타기,2
"장,비장애복합기구",1
전신올리기,1
전신운동달리기,1
제자리 걷기,1
제자리 뛰기,1
제자리걷기,5
좌식 사이클,2
좌식싸이클-1,1
좌식싸이클-2,1
좌식싸이클-3,1
좌우 뛰기,1
좌우뛰기,1
줄 오르기,1
줄당겨들기,1
줄당기기,3
줄당기기기,1
지압룰러,2
철 봉,2
철봉,60
철봉(1단),1
철봉(2단),1
철봉(3단),7
철봉(턱걸이),1
철봉기구,17
체스트업머신,2
체스트웨이트,1
체스트풀,1
체스트프레스,5
체어 웨이트,5
체어웨이트,2
체어풀,37
체어풀+허리,1
체어플,5
체중들어올리기,1
친업머신,1
크로스 컨트리,6
크로스컨츄리,1
크로스컨트리,11
큰활차,2
클링웨이스트,1
타원형걷기,2
턱걸이,1
트리플 트위스트,1
트리플트위스트,1
트위스트,1
트위스트(허리돌리기),2
트위스트머신,5
트위워밍암,1
트윈바디싣업,1
트윈워밍암,2
트윈트위스트,10
파고라형 운동기구,1
파도타기,30
파워레그핵스쿼트,1
파워프레스,1
팔 근력 운동-a,1
팔 근력 운동-b,1
팔굽혀펴기,6
팔당기고 다리밀기,2
팔돌리기,8
팔들어올리기,2
평행봉,75
평행봉기구,12
평형잡기,2
폴웨이트,1
풀 웨이트,1
풀웨이트,3
하눌걷기,1
하늘걷기,17
하이 프리,1
하이폴리머신,1
하이풀리,2
하이풀리운동기구,1
하이플러,1
하체 흔들기,2
하체+허리,1
하체근육풀기,22
하체흔들기,77
하체흔들기1,1
하체흔들기2,1
핸들웨이트,3
허늘걷기+허리돌리기 복합,1
허리 돌리기,3
허리 등 안마기,1
허리 회전판,3
허리+체어풀,1
허리+하체흔들기,2
허리.등안마기,1
허리굽히기,1
허리돌리기,183
허리돌리기+달리기,2
허리돌리기1,1
허리돌리기2,1
허리돌이기,7
허리안마기,1
허리지압기,1
허리펴기,1
허리풀기,1
허리흔들기,2
허벅지근육풀기,2
헬스형 평행봉,1
활차머신,1
회전판돌리기,1
