,구분,위치(구역명),운동기구 기종명,운동기구 수량,관리번호,관리기관
101,남산공원(팔각),남산산악회,역기,1,남산팔각-3(남산산악회)-7,중부공원녹지사업소
102,남산공원(팔각),남산산악회,허리돌리기,1,남산팔각-3(남산산악회)-8,중부공원녹지사업소
103,남산공원(팔각),남산산악회,다리뼏기,1,남산팔각-3(남산산악회)-9,중부공원녹지사업소
104,남산공원(팔각),남산산악회,허리.등안마기,1,남산팔각-3(남산산악회)-10,중부공원녹지사업소
105,남산공원(팔각),남산산악회,위몸 위으키기,1,남산팔각-3(남산산악회)-11,중부공원녹지사업소
106,남산공원(팔각),남산체육회,철봉,1,남산팔각-4(남산체육회)-1,중부공원녹지사업소
107,남산공원(팔각),남산체육회,평행봉,1,남산팔각-4(남산체육회)-2,중부공원녹지사업소
108,남산공원(팔각),남산체육회,역기,1,남산팔각-4(남산체육회)-3,중부공원녹지사업소
109,남산공원(팔각),남산체육회,위몸 위으키기,1,남산팔각-4(남산체육회)-4,중부공원녹지사업소
110,남산공원(팔각),남산체육회,온몸역기내리기,1,남산팔각-4(남산체육회)-5,중부공원녹지사업소
111,남산공원(팔각),남산체육회,옆파도타기,1,남산팔각-4(남산체육회)-6,중부공원녹지사업소
112,남산공원(팔각),남산체육회,타원형걷기,1,남산팔각-4(남산체육회)-7,중부공원녹지사업소
113,남산공원(팔각),남산체육회,타원형걷기,1,남산팔각-4(남산체육회)-8,중부공원녹지사업소
114,남산공원(팔각),남산체육회,허리돌리기,1,남산팔각-4(남산체육회)-8,중부공원녹지사업소
115,남산공원(팔각),중앙계단,허리돌리기,1,남산팔각-5(중앙계단)-1,중부공원녹지사업소
116,남산공원(한남),수복천,허리돌리기+달리기,1,남산한남-1(수복천)-1,중부공원녹지사업소
117,남산공원(한남),수복천,철봉(3단),1,남산한남-1(수복천)-2,중부공원녹지사업소
118,남산공원(한남),수복천,팔돌리기,1,남산한남-1(수복천)-3,중부공원녹지사업소
119,남산공원(한남),수복천,등허리 지압기,1,남산한남-1(수복천)-4,중부공원녹지사업소
120,남산공원(한남),수복천,온몸 노젓기,1,남산한남-1(수복천)-5,중부공원녹지사업소
121,남산공원(한남),수복천,다리 뻗치기,1,남산한남-1(수복천)-6,중부공원녹지사업소
122,남산공원(한남),수복천,크로스 컨트리,1,남산한남-1(수복천)-7,중부공원녹지사업소
